id,wave,age_missing,income_missing,smoker_code_missing
73557,H,0,0,0
73558,H,0,0,0
73559,H,0,0,0
73561,H,0,0,0
73562,H,0,0,0
73564,H,0,0,0
73565,H,0,0,0
73566,H,0,0,0
73567,H,0,0,0
73568,H,0,0,0
73571,H,0,0,0
73574,H,0,0,0
73577,H,0,0,0
73578,H,0,0,0
73580,H,0,1,0
73581,H,0,0,0
73582,H,0,0,0
73585,H,0,0,0
73589,H,0,0,0
73592,H,0,0,0
73594,H,0,0,0
73595,H,0,0,0
73596,H,0,0,0
73597,H,0,0,0
73598,H,0,1,0
73600,H,0,0,0
73603,H,0,0,0
73604,H,0,0,0
73607,H,0,0,0
73610,H,0,0,0
73613,H,0,0,0
73614,H,0,0,0
73615,H,0,0,0
73616,H,0,0,0
73618,H,0,1,0
73619,H,0,0,0
73621,H,0,0,0
73622,H,0,0,0
73623,H,0,0,0
73624,H,0,0,0
73626,H,0,0,0
73628,H,0,0,0
73629,H,0,0,0
73631,H,0,0,0
73632,H,0,0,0
73633,H,0,0,0
73634,H,0,0,0
73638,H,0,0,0
73639,H,0,0,0
73640,H,0,0,0
73641,H,0,0,0
73642,H,0,0,0
73643,H,0,0,0
73645,H,0,0,0
73647,H,0,0,0
73652,H,0,0,0
73654,H,0,0,0
73655,H,0,0,0
73656,H,0,0,0
73657,H,0,0,0
73658,H,0,0,0
73659,H,0,0,0
73660,H,0,0,0
73661,H,0,0,0
73662,H,0,0,0
73663,H,0,0,0
73665,H,0,0,0
73666,H,0,0,0
73667,H,0,0,0
73668,H,0,0,0
73670,H,0,0,0
73671,H,0,0,0
73672,H,0,0,0
73673,H,0,0,0
73674,H,0,1,0
73675,H,0,0,0
73676,H,0,0,0
73677,H,0,0,0
73678,H,0,0,0
73684,H,0,0,0
73688,H,0,0,0
73689,H,0,0,0
73690,H,0,0,0
73692,H,0,0,0
73693,H,0,0,0
73694,H,0,0,0
73695,H,0,0,0
73697,H,0,0,0
73698,H,0,0,0
73699,H,0,1,0
73701,H,0,0,0
73702,H,0,0,0
73703,H,0,1,0
73706,H,0,0,0
73707,H,0,0,0
73708,H,0,0,0
73709,H,0,0,0
73712,H,0,0,0
73714,H,0,0,0
73715,H,0,0,0
73716,H,0,0,0
73717,H,0,0,0
73718,H,0,0,0
73720,H,0,0,0
73721,H,0,0,0
73722,H,0,0,0
73723,H,0,0,0
73724,H,0,1,0
73725,H,0,0,0
73726,H,0,0,0
73729,H,0,0,0
73730,H,0,0,0
73732,H,0,0,0
73733,H,0,1,0
73735,H,0,0,0
73736,H,0,1,0
73737,H,0,0,0
73738,H,0,0,0
73739,H,0,0,0
73740,H,0,0,0
73741,H,0,1,0
73746,H,0,0,0
73747,H,0,0,0
73749,H,0,1,0
73751,H,0,0,0
73755,H,0,0,0
73756,H,0,1,0
73757,H,0,0,0
73760,H,0,0,0
73763,H,0,0,0
73765,H,0,0,0
73766,H,0,0,0
73767,H,0,0,0
73769,H,0,1,0
73770,H,0,0,0
73772,H,0,0,0
73773,H,0,0,0
73774,H,0,1,0
